Альпийская сказка (молочный) 25гр. 1шт. (шоколад )	12,41
Монпансье Мини-М вкус апельсина 1/50 гр 1/20 шт. (карамель леденцовая)	12,42
Монпансье Мини-М вкус вишни 1/50 гр 1/20 шт. (карамель леденцовая)	12,42
Монпансье Мини-М вкус клубники 1/50 гр 1/20 шт. (карамель леденцовая)	12,42
Монпансье Мини-М со вкусом яблока 1/50 гр 1/20 шт. (карамель леденцовая)	12,42
Монпансье Мини-М вкус апельсина 1/50 гр 1/20 шт. (карамель)	12,42
Монпансье Мини-М вкус вишни 1/50 гр 1/20 шт. (карамель)	12,42
Монпансье Мини-М вкус клубники 1/50 гр 1/20 шт. (карамель)	12,42
Монпансье Мини-М вкус яблока 1/50 гр 1/20 шт. (карамель)	12,42
Шерби 1/40гр 24шт 6бл (батончик-набор )	12,71
Изюм в/ш 1/50 гр, 1х200 шт.(драже)	12,72
Ладушки со вкусом топл.мол.в темной глазури 1/80гр 72шт (печенье)	12,74
Кокосовый Пашка 1/ 4ш.б/24шт. 40 гр.	12,77
Машка на юге какао Мерлетто1/ 4ш.б/24шт. 40 гр.	12,77
Супер - Контик с орехом 50гр. 1/90шт. пакет (печенье)	12,79
Супер - Контик со сгущ. молоком 50гр. 1/90шт. пакет (печенье)	12,79
Супер - Контик шоколад. вкус 50гр. 1/90шт. пакет (печенье)	12,79
Изюм в/ш 1/50 гр, 1х160 шт.(драже)	12,87
Пирожное бисквитное крем-какао 1/9бл/16 шт. 30 гр.	12,90
Пирожное бисквитное нач.клубника 1/9бл/16 шт. 30 гр.	12,90
Львиное сердце какао 1/30шт. 40гр. ( конфеты ) (181)	12,95
Львиное сердце кокос 1/30шт. 40гр. ( конфеты )	12,95
Львиное сердце какао 1/40гр 30шт ( (бат)	12,95
Львиное сердце какао-сливки 1/40гр 100шт(вес Бат)	12,95
Львиное сердце кокос-сливки 1/40гр 100шт (вес (бат)	12,95
Лимонные ф/п 1/40 шт. 100 гр. (вафли)	13,06
Бином 1/14шт. 100гр.( печенье )	13,07
Бутон 1/14шт. 100гр.( печенье )	13,07
Со вк. Кофе и Сливок 1/14шт. 100гр.( печенье )	13,07
Земляничное 1/60 шт.40 гр. ( вафли )	13,15
Сливочные оригинальные 1/60 шт.40 гр. ( вафли )	13,15
Сладко классик молочный конв 1/25гр 45шт*10бл. (шоколад)	13,19
Сахарная вата "Ля Пуш" микс 19г/50	13,20
